GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (1583)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
detection of stimulus involved in sensory perception (GO:0050906)	563	23	43.31	-	.53	5.42E-04	4.06E-02
chromatin remodeling (GO:0006338)	649	26	49.92	-	.52	1.66E-04	1.69E-02
ubiquitin-dependent protein catabolic process (GO:0006511)	565	21	43.46	-	.48	1.13E-04	1.29E-02
chromatin organization (GO:0006325)	832	30	64.00	-	.47	1.05E-06	3.60E-04
translation (GO:0006412)	391	13	30.08	-	.43	5.03E-04	3.87E-02
RNA processing (GO:0006396)	886	28	68.15	-	.41	1.09E-08	1.07E-05
mRNA metabolic process (GO:0016071)	625	19	48.07	-	.40	1.23E-06	3.96E-04
regulation of protein stability (GO:0031647)	398	12	30.61	-	.39	1.26E-04	1.38E-02
ribonucleoprotein complex biogenesis (GO:0022613)	457	13	35.15	-	.37	1.66E-05	3.10E-03
Golgi vesicle transport (GO:0048193)	297	7	22.85	-	.31	1.07E-04	1.26E-02
nucleobase-containing compound transport (GO:0015931)	231	5	17.77	-	.28	4.41E-04	3.61E-02
regulation of DNA repair (GO:0006282)	234	5	18.00	-	.28	4.54E-04	3.70E-02
mRNA processing (GO:0006397)	466	9	35.84	-	.25	5.42E-08	4.21E-05
RNA localization (GO:0006403)	187	3	14.38	-	.21	4.56E-04	3.67E-02
detection of chemical stimulus (GO:0009593)	522	8	40.15	-	.20	3.50E-10	8.61E-07
RNA splicing (GO:0008380)	382	5	29.38	-	.17	2.92E-08	2.54E-05
RNA transport (GO:0050658)	159	2	12.23	-	.16	4.90E-04	3.82E-02
nucleic acid transport (GO:0050657)	159	2	12.23	-	.16	4.90E-04	3.80E-02
establishment of RNA localization (GO:0051236)	161	2	12.38	-	.16	4.98E-04	3.84E-02
sensory perception of chemical stimulus (GO:0007606)	550	6	42.31	-	.14	1.59E-12	2.35E-08
protein-RNA complex assembly (GO:0022618)	207	2	15.92	-	.13	1.81E-05	3.18E-03
protein-RNA complex organization (GO:0071826)	216	2	16.61	-	.12	8.55E-06	1.91E-03
sensory perception of smell (GO:0007608)	469	4	36.08	-	.11	7.72E-12	3.80E-08
detection of chemical stimulus involved in sensory perception (GO:0050907)	485	4	37.31	-	.11	2.50E-12	1.85E-08
cytosolic transport (GO:0016482)	137	1	10.54	-	.09	5.15E-04	3.94E-02
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	437	3	33.61	-	.09	9.00E-12	3.32E-08
mRNA splicing, via spliceosome (GO:0000398)	244	1	18.77	-	.05	1.55E-07	8.16E-05
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	244	1	18.77	-	.05	1.55E-07	7.88E-05
RNA splicing, via transesterification reactions (GO:0000375)	249	1	19.15	-	.05	1.04E-07	5.93E-05
